Unique Well Identifier,Status,Surface Latitude,Surface Longitude
100/01-30-017-20W4/0,Closed,50.458966,-112.735403
100/01-30-029-07W4/0,Closed,51.506394,-110.966749
100/01-30-033-09W4/0,Closed,51.853427,-111.262306
102/08-29-036-08W4/0,Closed,52.117531,-111.126981
100/01-30-046-07W4/0,Closed,52.991910,-111.000625
100/01-30-050-03W4/0,Active,53.337375,-110.421109
1A0/01-30-050-05W4/0,Closed,53.337176,-110.713988
103/01-30-054-24W4/0,Closed,53.690297,-113.521231
100/01-30-054-25W4/0,Closed,53.689936,-113.668111
100/01-30-055-25W4/0,Closed,53.775871,-113.699900
100/01-30-078-08W5/0,Closed,55.783216,-115.220589
100/01-31-011-12W4/0,Closed,49.948695,-111.623679
100/16-30-015-24W4/0,Closed,50.295618,-113.282772
100/01-31-017-20W4/0,Closed,50.470465,-112.735109
100/01-31-037-03W4/0,Closed,52.218066,-110.414348
100/01-31-037-21W4/0,Closed,52.217727,-112.986459
102/06-31-038-02W5/0,Closed,52.306361,-114.266646
100/01-31-038-04W4/0,Active,52.306213,-110.553528
100/01-31-042-17W4/0,Closed,52.655504,-112.428883
100/01-31-047-08W4/0,Closed,53.091461,-111.155605
100/01-31-049-26W4/0,Closed,53.267301,-113.783534
100/05-31-055-06W5/0,Active,53.791157,-114.870976
100/04-32-087-09W6/0,Closed,56.583326,-119.411596
100/01-31-109-23W5/0,Closed,58.501058,-117.829768
100/13-31-122-21W5/0,Active,59.634406,-117.601604
100/01-32-017-24W4/0,Closed,50.471072,-113.256976
100/16-29-019-24W4/0,Closed,50.645501,-113.283309
100/01-32-019-26W4/0,Active,50.648016,-113.565009
100/01-32-020-26W4/0,Closed,50.735723,-113.562392
102/01-32-047-06W4/0,Active,53.091152,-110.834964
103/01-32-047-06W4/0,Active,53.092154,-110.836533
1C0/01-32-061-04W4/0,Closed,54.314283,-110.560002
100/01-32-123-19W5/0,Closed,59.723250,-117.261166
100/01-33-010-15W4/0,Closed,49.859239,-111.970157
100/01-33-019-26W4/0,Active,50.648030,-113.541358
100/01-33-019-27W4/0,Active,50.647013,-113.680083
103/02-33-027-22W4/0,Active,51.343816,-113.031586
100/01-33-038-14W4/0,Closed,52.306461,-111.938315
100/01-33-039-26W4/0,Closed,52.392290,-113.678762
103/16-33-049-01W5/0,Active,53.268764,-114.076192
100/01-33-057-03W5/0,Closed,53.966073,-114.379391
100/01-33-065-25W4/0,Active,54.660911,-113.711546
100/01-33-066-17W4/0,Active,54.748613,-112.507073
100/01-34-014-25W4/0,Closed,50.212059,-113.322827
100/01-34-023-23W4/2,Active,50.994956,-113.126519
100/01-34-029-02W4/0,Closed,51.521088,-110.193448
100/01-34-029-23W4/0,Active,51.521072,-113.147025
100/01-34-036-17W4/0,Active,52.131393,-112.343202
100/01-34-051-06W4/0,Closed,53.441686,-110.793589
102/02-34-066-02W4/0,Active,54.750548,-110.211440
100/01-35-014-25W4/0,Closed,50.211568,-113.300356
100/01-35-015-21W4/0,Closed,50.298600,-112.780431
100/08-35-015-23W4/0,Closed,50.298097,-113.053939
100/07-35-016-16W4/0,Active,50.383352,-112.090287
100/01-35-016-29W4/0,Active,50.383226,-113.878890
100/01-35-018-24W4/0,Closed,50.559732,-113.191079
100/16-26-028-10W4/0,Closed,51.431474,-111.297124
100/01-35-034-08W4/0,Closed,51.955258,-111.025213
100/01-35-035-07W5/0,Closed,52.044994,-114.885995
100/01-35-040-05W5/0,Closed,52.482417,-114.606356
102/01-35-058-05W5/0,Active,54.052729,-114.627007
100/01-35-061-17W4/3,Closed,54.315003,-112.430633
100/01-35-088-04W6/0,Closed,56.668351,-118.512485
100/01-35-095-04W6/0,Closed,57.281806,-118.519538
100/01-36-011-13W4/0,Closed,49.948753,-111.647504
100/01-36-019-27W4/0,Active,50.647876,-113.610446
100/05-31-021-25W4/0,Active,50.823039,-113.469731
100/01-36-029-23W4/0,Active,51.520795,-113.102932
104/01-36-040-13W4/0,Closed,52.481044,-111.735248
107/01-36-040-13W4/0,Closed,52.479252,-111.734333
106/01-36-040-13W4/0,Closed,52.479342,-111.734333
100/01-36-040-13W4/0,Closed,52.479421,-111.735317
105/08-36-040-13W4/0,Closed,52.479432,-111.734333
103/01-36-053-13W4/0,Closed,53.614607,-111.773915
102/01-36-053-13W4/0,Active,53.614824,-111.773568
100/01-36-053-13W4/0,Closed,53.614565,-111.773591
100/01-36-063-26W4/0,Closed,54.486820,-113.789223
100/04-31-066-23W4/0,Active,54.749509,-113.487298
100/01-36-069-06W6/0,Closed,55.012805,-118.765926
100/01-36-069-19W5/0,Closed,55.012946,-116.752095
100/06-36-085-10W5/0,Active,56.406983,-115.426668
100/01-36-085-10W5/0,Closed,56.406970,-115.426747
100/01-36-093-03W6/0,Closed,57.105574,-118.324099
100/01-36-109-24W5/0,Closed,58.501265,-117.853280
100/01-36-121-05W6/0,Active,59.548641,-118.695198
100/01-01-008-13W4/0,Closed,49.614924,-111.637950
102/02-01-012-13W4/0,Closed,49.963313,-111.651552
100/02-01-012-13W4/0,Closed,49.962463,-111.650637
100/02-01-015-17W4/0,Active,50.225233,-112.210725
100/02-01-017-10W4/0,Active,50.400505,-111.252012
100/02-01-017-20W4/0,Closed,50.398000,-112.625950
100/02-01-019-25W4/0,Active,50.572970,-113.335441
100/14-36-020-28W4/0,Closed,50.747343,-113.754855
100/02-01-030-01W5/0,Closed,51.536134,-114.008304
100/03-01-036-13W4/0,Closed,52.056403,-111.730440
100/15-36-052-13W4/0,Active,53.543469,-111.780538
100/02-01-053-13W4/0,Active,53.543395,-111.780741
100/02-02-015-25W4/0,Closed,50.223663,-113.329024
100/02-02-016-27W4/0,Closed,50.313372,-113.606829
100/02-02-017-22W4/2,Closed,50.400781,-112.924823
102/02-02-035-13W4/0,Closed,51.970714,-111.751740
100/02-02-035-13W4/0,Closed,51.970723,-111.751740
100/02-02-047-03W5/0,Closed,53.020558,-114.326096
100/02-02-048-04W5/0,Active,53.106412,-114.474895
100/02-02-065-16W5/0,Closed,54.591942,-116.304985
100/02-02-066-26W4/0,Active,54.677782,-113.821260
100/03-02-078-13W5/0,Active,55.724974,-115.902567
100/02-02-090-06W6/0,Closed,56.772890,-118.834417
100/02-02-090-13W5/2,Active,56.772297,-115.951557
1S0/02-02-111-04W6/0,Closed,58.608742,-118.549551
100/02-03-018-28W4/0,Active,50.487032,-113.769827
100/06-03-020-27W4/0,Closed,50.662719,-113.660551
100/02-03-020-27W4/0,Closed,50.662537,-113.660547
100/02-03-039-10W4/0,Closed,52.320821,-111.356342
100/02-03-047-03W5/0,Closed,53.020924,-114.349559
100/02-03-048-04W5/0,Closed,53.107445,-114.499371
100/02-03-051-09W5/0,Closed,53.369155,-115.236673
100/02-03-051-10W4/0,Active,53.366760,-111.386122
100/02-03-086-11W6/0,Closed,56.422975,-119.644677
100/07-03-086-11W6/0,Closed,56.423042,-119.644434
100/02-04-001-11W4/0,Closed,48.998817,-111.417523
100/02-04-006-15W4/2,Active,49.437753,-111.964682
100/02-04-012-25W4/0,Closed,49.962610,-113.350947
100/02-04-017-20W4/0,Closed,50.397872,-112.694104
100/02-04-050-05W4/0,Closed,53.280885,-110.674938
100/02-04-066-25W4/0,Active,54.677570,-113.721873
100/02-04-085-06W6/0,Closed,56.337775,-118.882808
100/02-04-088-07W6/0,Closed,56.597680,-119.046331
102/02-04-088-07W6/0,Closed,56.598446,-119.046356
100/02-05-006-15W4/0,Active,49.436841,-111.985702
100/01-05-008-01W5/0,Closed,49.612102,-114.101586
100/02-05-018-26W4/0,Active,50.487793,-113.540304
100/02-05-021-27W4/0,Closed,50.749647,-113.704730
100/02-05-039-21W4/2,Closed,52.321055,-112.988151
102/02-05-046-20W4/0,Closed,52.932308,-112.868015
100/02-05-052-25W4/0,Closed,53.456392,-113.648308
100/02-05-066-01W5/0,Closed,54.677518,-114.114534
100/02-05-066-04W5/0,Closed,54.676438,-114.563447
