,record,sexe,age,NAISS,LANGUE,MINO,Q2r1,Q2r2,Q2r3,Q2r4,Q2r5,Q2r6,Q2r7,Q2r8,Q42,Q46,Q47,Q47B,Q52r1,Q52r2,Q52r3,Q52r4,Q52r5,Q52r6,Q52r7,Q52r8,Q52r9
136,185,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,5,5,3,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
137,186,Un homme,De 45 à 54 ans,Oui,Français,Non,5,4,5,4,4,4,5,4,5,5,3,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
138,187,Une femme,De 45 à 54 ans,Oui,Français,Non,5,4,5,5,5,5,5,5,4,5,3,3,Oui,Non,Non,Non,Non,Non,Oui,Non,Non
139,188,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,5,5,4,2,Oui,Non,Non,Non,Non,Non,Non,Non,Non
140,189,Une femme,De 45 à 54 ans,Non,Anglais,Non,2,2,1,1,4,3,4,2,5,2,2,8,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui
141,191,Une femme,De 45 à 54 ans,Non,Français,Non,5,5,5,5,4,3,4,3,4,4,2,2,Oui,Oui,Non,Oui,Non,Non,Oui,Non,Oui
142,192,Un homme,De 45 à 54 ans,Oui,Grecque,Non,4,4,4,4,5,5,5,5,5,4,3,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
143,193,Une femme,75 ans ou plus,Oui,Français,Non,5,5,5,5,5,5,5,5,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
144,194,Une femme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
145,195,Une femme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,4,4,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
147,197,Un homme,75 ans ou plus,Oui,Anglais,Non,2,1,1,1,5,5,5,5,4,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
148,198,Une femme,De 25 à 34 ans,Oui,Français,Non,5,5,5,5,4,3,3,3,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
149,200,Une femme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,3,2,1,2,5,5,5,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
150,201,Une femme,De 18 à 24 ans,Oui,Anglais,Non,4,4,4,3,5,5,5,5,4,4,4,1,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui
151,202,Une femme,De 65 à 74 ans,Oui,Français,Non,5,5,5,4,5,5,5,4,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
152,203,Une femme,De 18 à 24 ans,Oui,Français,Non,5,5,5,4,4,2,2,2,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
153,204,Une femme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,5,4,4,3,Oui,Non,Non,Je ne sais pas,Non,Non,Non,Oui,Non
154,205,Un homme,De 55 à 64 ans,Oui,Anglais,Non,1,1,1,1,5,5,5,5,5,4,5,2,Je préfère ne pas répondre,Oui,Je préfère ne pas répondre,Oui,Je préfère ne pas répondre,Je préfère ne pas répondre,Je préfère ne pas répondre,Oui,Oui
155,206,Un homme,De 35 à 44 ans,Non,Français,Oui,5,5,5,5,5,5,5,5,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
156,207,Une femme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,2,3,2,2,5,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
157,208,Un homme,De 35 à 44 ans,Non,Portugais,Oui,4,4,4,4,4,4,4,4,5,2,2,1,Non,Oui,Oui,Non,Non,Non,Oui,Non,Oui
158,209,Un homme,De 45 à 54 ans,Oui,Chinois,Oui,4,5,5,5,5,5,5,5,5,4,2,2,Non,Oui,Oui,Non,Non,Non,Non,Non,Non
159,210,Un homme,De 25 à 34 ans,Oui,Français,Oui,5,5,5,3,4,3,4,3,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
