"REF_DATE","GEO","DGUID","Knowledge of official languages","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1951","Canada outside Quebec","","English and French","Number","Number","223","units","0","v1043024656","16.4.1","689317","","","","0"
"1951","Canada outside Quebec","","English and French","Percentage","Percentage","242","units","0","v1043024657","16.4.2","6.9","","","","1"
"1951","Canada outside Quebec","","Neither English nor French","Number","Number","223","units","0","v1043024658","16.5.1","132279","","","","0"
"1951","Canada outside Quebec","","Neither English nor French","Percentage","Percentage","242","units","0","v1043024659","16.5.2","1.3","","","","1"
"1961","Canada","2016A000011124","Total, knowledge of official languages","Number","Number","223","units","0","v1043024500","1.1.1","18238247","","","","0"
"1961","Canada","2016A000011124","Total, knowledge of official languages","Percentage","Percentage","242","units","0","v1043024501","1.1.2","100.0","","","","1"
"1961","Canada","2016A000011124","French only","Number","Number","223","units","0","v1043024502","1.2.1","3489866","","","","0"
"1961","Canada","2016A000011124","French only","Percentage","Percentage","242","units","0","v1043024503","1.2.2","19.1","","","","1"
"1961","Canada","2016A000011124","English only","Number","Number","223","units","0","v1043024504","1.3.1","12284762","","","","0"
"1961","Canada","2016A000011124","English only","Percentage","Percentage","242","units","0","v1043024505","1.3.2","67.4","","","","1"
"1961","Canada","2016A000011124","English and French","Number","Number","223","units","0","v1043024506","1.4.1","2231172","","","","0"
"1961","Canada","2016A000011124","English and French","Percentage","Percentage","242","units","0","v1043024507","1.4.2","12.2","","","","1"
"1961","Canada","2016A000011124","Neither English nor French","Number","Number","223","units","0","v1043024508","1.5.1","232447","","","","0"
"1961","Canada","2016A000011124","Neither English nor French","Percentage","Percentage","242","units","0","v1043024509","1.5.2","1.3","","","","1"
"1961","Newfoundland and Labrador","2016A000210","Total, knowledge of official languages","Number","Number","223","units","0","v1043024510","2.1.1","457853","","","","0"
"1961","Newfoundland and Labrador","2016A000210","Total, knowledge of official languages","Percentage","Percentage","242","units","0","v1043024511","2.1.2","100.0","","","","1"
"1961","Newfoundland and Labrador","2016A000210","French only","Number","Number","223","units","0","v1043024512","2.2.1","522","","","","0"
"1961","Newfoundland and Labrador","2016A000210","French only","Percentage","Percentage","242","units","0","v1043024513","2.2.2","0.1","","","","1"
"1961","Newfoundland and Labrador","2016A000210","English only","Number","Number","223","units","0","v1043024514","2.3.1","450945","","","","0"
"1961","Newfoundland and Labrador","2016A000210","English only","Percentage","Percentage","242","units","0","v1043024515","2.3.2","98.5","","","","1"
"1961","Newfoundland and Labrador","2016A000210","English and French","Number","Number","223","units","0","v1043024516","2.4.1","5299","","","","0"
"1961","Newfoundland and Labrador","2016A000210","English and French","Percentage","Percentage","242","units","0","v1043024517","2.4.2","1.2","","","","1"
"1961","Newfoundland and Labrador","2016A000210","Neither English nor French","Number","Number","223","units","0","v1043024518","2.5.1","1087","","","","0"
"1961","Newfoundland and Labrador","2016A000210","Neither English nor French","Percentage","Percentage","242","units","0","v1043024519","2.5.2","0.2","","","","1"
"1961","Prince Edward Island","2016A000211","Total, knowledge of official languages","Number","Number","223","units","0","v1043024520","3.1.1","104629","","","","0"
"1961","Prince Edward Island","2016A000211","Total, knowledge of official languages","Percentage","Percentage","242","units","0","v1043024521","3.1.2","100.0","","","","1"
"1961","Prince Edward Island","2016A000211","French only","Number","Number","223","units","0","v1043024522","3.2.1","1219","","","","0"
"1961","Prince Edward Island","2016A000211","French only","Percentage","Percentage","242","units","0","v1043024523","3.2.2","1.2","","","","1"
"1961","Prince Edward Island","2016A000211","English only","Number","Number","223","units","0","v1043024524","3.3.1","95296","","","","0"
"1961","Prince Edward Island","2016A000211","English only","Percentage","Percentage","242","units","0","v1043024525","3.3.2","91.1","","","","1"
"1961","Prince Edward Island","2016A000211","English and French","Number","Number","223","units","0","v1043024526","3.4.1","7938","","","","0"
"1961","Prince Edward Island","2016A000211","English and French","Percentage","Percentage","242","units","0","v1043024527","3.4.2","7.6","","","","1"
"1961","Prince Edward Island","2016A000211","Neither English nor French","Number","Number","223","units","0","v1043024528","3.5.1","176","","","","0"
"1961","Prince Edward Island","2016A000211","Neither English nor French","Percentage","Percentage","242","units","0","v1043024529","3.5.2","0.2","","","","1"
"1961","Nova Scotia","2016A000212","Total, knowledge of official languages","Number","Number","223","units","0","v1043024530","4.1.1","737007","","","","0"
"1961","Nova Scotia","2016A000212","Total, knowledge of official languages","Percentage","Percentage","242","units","0","v1043024531","4.1.2","100.0","","","","1"
"1961","Nova Scotia","2016A000212","French only","Number","Number","223","units","0","v1043024532","4.2.1","5938","","","","0"
"1961","Nova Scotia","2016A000212","French only","Percentage","Percentage","242","units","0","v1043024533","4.2.2","0.8","","","","1"
"1961","Nova Scotia","2016A000212","English only","Number","Number","223","units","0","v1043024534","4.3.1","684805","","","","0"
"1961","Nova Scotia","2016A000212","English only","Percentage","Percentage","242","units","0","v1043024535","4.3.2","92.9","","","","1"
"1961","Nova Scotia","2016A000212","English and French","Number","Number","223","units","0","v1043024536","4.4.1","44987","","","","0"
"1961","Nova Scotia","2016A000212","English and French","Percentage","Percentage","242","units","0","v1043024537","4.4.2","6.1","","","","1"
"1961","Nova Scotia","2016A000212","Neither English nor French","Number","Number","223","units","0","v1043024538","4.5.1","1277","","","","0"
"1961","Nova Scotia","2016A000212","Neither English nor French","Percentage","Percentage","242","units","0","v1043024539","4.5.2","0.2","","","","1"
"1961","New Brunswick","2016A000213","Total, knowledge of official languages","Number","Number","223","units","0","v1043024540","5.1.1","597936","","","","0"
"1961","New Brunswick","2016A000213","Total, knowledge of official languages","Percentage","Percentage","242","units","0","v1043024541","5.1.2","100.0","","","","1"
"1961","New Brunswick","2016A000213","French only","Number","Number","223","units","0","v1043024542","5.2.1","112054","","","","0"
"1961","New Brunswick","2016A000213","French only","Percentage","Percentage","242","units","0","v1043024543","5.2.2","18.7","","","","1"
"1961","New Brunswick","2016A000213","English only","Number","Number","223","units","0","v1043024544","5.3.1","370922","","","","0"
"1961","New Brunswick","2016A000213","English only","Percentage","Percentage","242","units","0","v1043024545","5.3.2","62.0","","","","1"
"1961","New Brunswick","2016A000213","English and French","Number","Number","223","units","0","v1043024546","5.4.1","113495","","","","0"
"1961","New Brunswick","2016A000213","English and French","Percentage","Percentage","242","units","0","v1043024547","5.4.2","19.0","","","","1"
"1961","New Brunswick","2016A000213","Neither English nor French","Number","Number","223","units","0","v1043024548","5.5.1","1465","","","","0"
"1961","New Brunswick","2016A000213","Neither English nor French","Percentage","Percentage","242","units","0","v1043024549","5.5.2","0.2","","","","1"
"1961","Quebec","2016A000224","Total, knowledge of official languages","Number","Number","223","units","0","v1043024550","6.1.1","5259211","","","","0"
"1961","Quebec","2016A000224","Total, knowledge of official languages","Percentage","Percentage","242","units","0","v1043024551","6.1.2","100.0","","","","1"
"1961","Quebec","2016A000224","French only","Number","Number","223","units","0","v1043024552","6.2.1","3254850","","","","0"
"1961","Quebec","2016A000224","French only","Percentage","Percentage","242","units","0","v1043024553","6.2.2","61.9","","","","1"
"1961","Quebec","2016A000224","English only","Number","Number","223","units","0","v1043024554","6.3.1","608635","","","","0"
"1961","Quebec","2016A000224","English only","Percentage","Percentage","242","units","0","v1043024555","6.3.2","11.6","","","","1"
"1961","Quebec","2016A000224","English and French","Number","Number","223","units","0","v1043024556","6.4.1","1338878","","","","0"
"1961","Quebec","2016A000224","English and French","Percentage","Percentage","242","units","0","v1043024557","6.4.2","25.5","","","","1"
"1961","Quebec","2016A000224","Neither English nor French","Number","Number","223","units","0","v1043024558","6.5.1","56848","","","","0"
"1961","Quebec","2016A000224","Neither English nor French","Percentage","Percentage","242","units","0","v1043024559","6.5.2","1.1","","","","1"
"1961","Ontario","2016A000235","Total, knowledge of official languages","Number","Number","223","units","0","v1043024560","7.1.1","6236092","","","","0"
"1961","Ontario","2016A000235","Total, knowledge of official languages","Percentage","Percentage","242","units","0","v1043024561","7.1.2","100.0","","","","1"
"1961","Ontario","2016A000235","French only","Number","Number","223","units","0","v1043024562","7.2.1","95236","","","","0"
"1961","Ontario","2016A000235","French only","Percentage","Percentage","242","units","0","v1043024563","7.2.2","1.5","","","","1"
"1961","Ontario","2016A000235","English only","Number","Number","223","units","0","v1043024564","7.3.1","5548766","","","","0"
"1961","Ontario","2016A000235","English only","Percentage","Percentage","242","units","0","v1043024565","7.3.2","89.0","","","","1"
"1961","Ontario","2016A000235","English and French","Number","Number","223","units","0","v1043024566","7.4.1","493270","","","","0"
"1961","Ontario","2016A000235","English and French","Percentage","Percentage","242","units","0","v1043024567","7.4.2","7.9","","","","1"
"1961","Ontario","2016A000235","Neither English nor French","Number","Number","223","units","0","v1043024568","7.5.1","98820","","","","0"
"1961","Ontario","2016A000235","Neither English nor French","Percentage","Percentage","242","units","0","v1043024569","7.5.2","1.6","","","","1"
"1961","Manitoba","2016A000246","Total, knowledge of official languages","Number","Number","223","units","0","v1043024570","8.1.1","921686","","","","0"
"1961","Manitoba","2016A000246","Total, knowledge of official languages","Percentage","Percentage","242","units","0","v1043024571","8.1.2","100.0","","","","1"
"1961","Manitoba","2016A000246","French only","Number","Number","223","units","0","v1043024572","8.2.1","7954","","","","0"
"1961","Manitoba","2016A000246","French only","Percentage","Percentage","242","units","0","v1043024573","8.2.2","0.9","","","","1"
"1961","Manitoba","2016A000246","English only","Number","Number","223","units","0","v1043024574","8.3.1","825955","","","","0"
"1961","Manitoba","2016A000246","English only","Percentage","Percentage","242","units","0","v1043024575","8.3.2","89.6","","","","1"
"1961","Manitoba","2016A000246","English and French","Number","Number","223","units","0","v1043024576","8.4.1","68368","","","","0"
"1961","Manitoba","2016A000246","English and French","Percentage","Percentage","242","units","0","v1043024577","8.4.2","7.4","","","","1"
"1961","Manitoba","2016A000246","Neither English nor French","Number","Number","223","units","0","v1043024578","8.5.1","19409","","","","0"
"1961","Manitoba","2016A000246","Neither English nor French","Percentage","Percentage","242","units","0","v1043024579","8.5.2","2.1","","","","1"
"1961","Saskatchewan ","2016A000247","Total, knowledge of official languages","Number","Number","223","units","0","v1043024580","9.1.1","925181","","","","0"
"1961","Saskatchewan ","2016A000247","Total, knowledge of official languages","Percentage","Percentage","242","units","0","v1043024581","9.1.2","100.0","","","","1"
"1961","Saskatchewan ","2016A000247","French only","Number","Number","223","units","0","v1043024582","9.2.1","3853","","","","0"
"1961","Saskatchewan ","2016A000247","French only","Percentage","Percentage","242","units","0","v1043024583","9.2.2","0.4","","","","1"
"1961","Saskatchewan ","2016A000247","English only","Number","Number","223","units","0","v1043024584","9.3.1","865821","","","","0"
"1961","Saskatchewan ","2016A000247","English only","Percentage","Percentage","242","units","0","v1043024585","9.3.2","93.6","","","","1"
"1961","Saskatchewan ","2016A000247","English and French","Number","Number","223","units","0","v1043024586","9.4.1","42074","","","","0"
"1961","Saskatchewan ","2016A000247","English and French","Percentage","Percentage","242","units","0","v1043024587","9.4.2","4.5","","","","1"
