Date,Open,High,Low,Close,Adj Close,Volume,Gain
10/1/2014,78.779999,78.82,75.900002,76.550003,76.550003,55090000,-2.229996
10/2/2014,76.57,77.480003,75.639999,77.080002,77.080002,36488000,0.510002
10/3/2014,77.760002,78.059998,77.260002,77.440002,77.440002,23340000,-0.32
10/6/2014,77.190002,77.889999,76.849998,77.559998,77.559998,25729000,0.369996
10/7/2014,77.050003,77.949997,76.239998,76.290001,76.290001,25317000,-0.760002
10/8/2014,76.18,77.709999,75.099998,77.519997,77.519997,32976000,1.339997
10/9/2014,77.279999,77.760002,75.849998,75.910004,75.910004,32487000,-1.369995
10/10/2014,75.589996,76.5,72.760002,72.910004,72.910004,52146000,-2.679992
10/13/2014,73.230003,74.779999,72.519997,72.989998,72.989998,43938000,-0.240005
10/14/2014,74,74.18,72.050003,73.589996,73.589996,50299000,-0.410004
10/15/2014,71.690002,73.800003,70.32,73.209999,73.209999,61528000,1.519997
10/16/2014,70.790001,73.349998,70.580002,72.629997,72.629997,53529000,1.839996
10/17/2014,74.230003,76,73.75,75.949997,75.949997,76342000,1.719994
10/20/2014,75.599998,77.089996,75.379997,76.949997,76.949997,34701000,1.349999
10/21/2014,77.559998,78.739998,77.150002,78.690002,78.690002,32252000,1.130004
10/22/2014,78.82,79.849998,78.010002,78.370003,78.370003,41862000,-0.449997
10/23/2014,79.379997,80.629997,79.010002,80.040001,80.040001,35056000,0.660004
10/24/2014,80.199997,80.82,79.32,80.669998,80.669998,32248000,0.470001
10/27/2014,80.739998,80.800003,79.760002,80.279999,80.279999,30169000,-0.459999
10/28/2014,80.18,81.160004,79.57,80.769997,80.769997,74212000,0.589997
10/29/2014,75.449997,76.879997,74.779999,75.860001,75.860001,106120000,0.410004
10/30/2014,75.050003,75.349998,72.900002,74.110001,74.110001,83270000,-0.940002
10/31/2014,74.93,75.699997,74.449997,74.989998,74.989998,44544000,0.059998
11/3/2014,75.470001,75.519997,73.699997,73.879997,73.879997,40727000,-1.590004
11/4/2014,74.230003,75.769997,73.650002,75.760002,75.760002,39326000,1.529999
11/5/2014,76.510002,76.800003,74.419998,74.830002,74.830002,35913000,-1.68
11/6/2014,74.889999,75.599998,74.309998,75.260002,75.260002,21383000,0.370003
11/7/2014,75.389999,75.860001,75.019997,75.599998,75.599998,20774000,0.209999
11/10/2014,75.360001,75.480003,74.610001,75,75,21575100,-0.360001
11/11/2014,74.949997,74.980003,74.029999,74.610001,74.610001,18715700,-0.339996
11/12/2014,74.279999,75.139999,73.540001,74.720001,74.720001,26536600,0.440002
11/13/2014,74.739998,75.239998,73.639999,74.25,74.25,26448500,-0.489998
11/14/2014,74.269997,74.93,74.040001,74.879997,74.879997,19476900,0.61
11/17/2014,74.879997,75.660004,73.879997,74.239998,74.239998,28701200,-0.639999
